Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify)
If I Were a Boy,Beyoncé,2008,71
Fantasias,Rauw Alejandro,2019-08-29,76
Hola Señorita,GIMS,2019-04-26,64
Mientes,Camila,2010-02-09,79
Stars,Marshmello,2018-06-22,58
Jerusalema (feat. Nomcebo Zikode),Master KG,2020-01-24,73
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,2014-01-27,58
Stereo Love,Edward Maya,2009-07-07,67
Te Felicito,Shakira,2022-04-21,81
Nuki Nuki (The Nuki Song),Gummibär,2010-03-09,39
Do It Again,Pia Mia,2015-05-04,73
Into the Unknown,Idina Menzel,2019-11-15,75
Break My Heart,Dua Lipa,2020-03-27,80
I Get the Bag (feat. Migos),Gucci Mane,2017-10-13,74
We Will Rock You - Remastered 2011,Queen,1977-10-28,80
Ella Quiere Beber - Remix,Anuel AA,2018-11-02,79
I Don't Care (with Justin Bieber),Ed Sheeran,2019-05-10,78
How Deep Is Your Love,Bee Gees,1979-01-01,80
Bella,GIMS,2013-12-02,65
Dance Again (feat. Pitbull),Jennifer Lopez,2012-07-24,69
ON,BTS,2020-02-21,72
Asesina,Brytiago,2018-05-01,75
"Shiny - From ""Moana""/Soundtrack Version",Jemaine Clement,2021-05-28,59
Don't Matter,Akon,2006-01-01,76
Not Today,BTS,2017-02-13,69
New Divide (Originally Performed By Linkin Park) - Tribute Version,New Tribute Kings,2009,0
打上花火,Daoko,2017-08-16,62
Sapés comme jamais (feat. Niska) - Pilule bleue,GIMS,2015-08-28,39
Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,Lil Nas X,2019-07-24,63
Iglesia,Lilly Goodman,2005-01-19,31
Promiscuous,Nelly Furtado,2006-01-01,86
BANG BANG BANG,BIGBANG,2016-12-13,69
Hoy Tengo Ganas De Ti,Alejandro Fernández,2020-02-28,21
Illegal Weapon 2.0,Jasmine Sandlas,2020-02-13,69
Mundo Encantado,Patati Patatá,2005-03-10,33
Billionaire (feat. Bruno Mars),Travie McCoy,2010-03-09,76
The Way I Are,Timbaland,2007-01-01,85
Bống Bống Bang Bang,Tú Anh,2015-01-01,15
You Are The Reason - Duet Version,Calum Scott,2018-11-30,71
Fala Mal de Mim - Ao Vivo,Gusttavo Lima,2022-11-10,10
La Buena y la Mala,Banda Tierra Sagrada,2013,75
DEL Negociante,Los Plebes del Rancho de Ariel Camacho,2016-03-04,67
Welcome To The Jungle,Guns N' Roses,1987-07-21,84
Radha,Iman Chakraborty,2019,31
Más Fuerte,Greeicy,2019-05-17,65
Dil Galti Kar Baitha Hai,Jubin Nautiyal,2021-09-25,66
Imprevisível,Tribo da Periferia,2018-06-04,67
MORE,K/DA,2020-10-28,72
Pandeyji Ka Beta Hoon,Indu Sonali,2018-03-03,50
Lollipop,Lil Wayne,2008-01-01,72
Passion Whine,Farruko,2016-02-22,73
Run the World (Girls),Beyoncé,2011-06-24,74
Thoda Thoda Pyaar,Nilesh Ahuja,2023-05-29,23
Saiyaan Ji,Farooq Got Audio,2023-09-07,26
Bebi Liguei - Ao Vivo,Marília Mendonça,2019-02-22,69
Corrido De Juanito,Calibre 50,2017-10-13,64
ME MATA(S) - Sped Up,Noan,2023-07-01,38
Fast Car,Jonas Blue,2015-12-04,69
Estamos Bien,Bad Bunny,2018-12-23,72
هابي هابي,Hala Al Turk,2013-10-24,23
Skyfall,Adele,2012-10-04,86
Dueles,Jesse & Joy,2015-12-04,83
Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,2017-06-02,24
Aaja Mujhe Leja Teri Dulhan Banake,Deepika Sharma,2023-09-25,30
"Ay, DiOs Mío!",KAROL G,2020-07-10,72
CASTLE OF GLASS,Linkin Park,2012-06-20,76
Juicy,The Notorious B.I.G.,2007-03-05,61
It's Time - Live London Sessions / 2013,Imagine Dragons,2022-09-09,38
La Mané (Versión 2019),CantaJuego,2018-12-14,37
Dior,Pop Smoke,2019-07-26,83
"Look At Me Now (Chris Brown, Lil Wayne & Busta Rhymes Party Tribute)",Ultimate Party Jams,2011-02-04,6
Bad Habits,Ed Sheeran,2021-10-29,84
Try,P!nk,2012-09-18,81
"We Don't Talk About Bruno (From ""Encanto"")",BYU Vocal Point,2022-08-26,35
Hall of Fame (feat. will.i.am),The Script,2012-09-10,84
Lalala,Y2K,2019-06-28,75
Crank That (Soulja Boy),Soulja Boy,2007-01-01,78
Location,Khalid,2017-04-27,78
21 Questions,50 Cent,2003-02-06,77
Kaun Tujhe,Palak Muchhal,2016-09-17,70
Namo Namo,Amit Trivedi,2018-11-27,25
Happier,Marshmello,2018-08-17,85
Hey Brother,Avicii,2013-01-01,80
Traicionera,Sebastian Yatra,2018-05-18,76
Cevapsız Çınlama,Emrah Karaduman,2017-01-06,14
Panda,Desiigner,2016-02-26,69
Wake Up in the Sky,Gucci Mane,2018-09-14,80
She Doesn't Mind,Sean Paul,2012-01-24,75
Dilbar,Neha Kakkar,2018-08-01,57
Firse Machayenge,Emiway Bantai,2020-02-14,57
Jó (Ao Vivo),Midian Lima,2021-12-31,21
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,2012-12-07,69
Dil Chori,Yo Yo Honey Singh,2018-02-14,67
Na Ja,Pav Dharia,2017-02-21,72
Si Estuviésemos Juntos,Bad Bunny,2018-12-23,83
Wherever You Will Go,The Calling,2001,78
The Pretender,Foo Fighters,2007-09-25,81
Cancioncitas de Amor,Romeo Santos,2014-02-25,77
Asesina - Remix,Brytiago,2018-10-31,66
How You Remind Me,Nickelback,2001-09-11,84
Shut Down,BLACKPINK,2022-09-16,78
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,2018-05-25,84
Se Acabó (feat. Chino & Nacho),Sanluis,2016-09-01,56
MONTERO (Call Me By Your Name),Lil Nas X,2021-03-31,75
Fanatica Sensual,Plan B,2014-09-09,71
بنيتى الحبوبه,Mashael,2011-07-07,34
Tsunami - Original Mix,DVBBS,2014-07-08,41
Mi Buen Amor,Mon Laferte,2017-04-28,79
Marmalade (feat. Lil Yachty),Macklemore,2017-09-22,61
Heaven,Kane Brown,2017-10-06,74
Memories (feat. Kid Cudi),David Guetta,2010-11-22,77
Riptide,Vance Joy,2014-09-08,86
GOTTI,6ix9ine,2018-04-10,63
Calm Down (with Selena Gomez),Rema,2022-08-25,90
Cobaia - Ao Vivo,Lauana Prado,2019-06-28,41
Take Me To Church,Hozier,2014-07-20,86
Chlorine,Twenty One Pilots,2018-10-05,76
Rebota,Guaynaa,2018-12-14,67
La Modelo,Ozuna,2018-08-24,66
Ya Nabi Salam Alayka - Arabic Version - Bonus Track,Maher Zain,2009-10-30,54
Somewhere Only We Know,Keane,2004-05-10,88
Пчеловод,RASA,2019-07-03,54
Coka,Sukh-E Muzical Doctorz,2019-06-01,61
(Everything I Do) I Do It For You,Bryan Adams,1991-09-24,78
She Don't Like The Lights,Justin Bieber,2012-06-15,50
"Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,2018-12-13,68
"break up with your girlfriend, i'm bored",Ariana Grande,2019-02-08,78
Boo'd Up,Ella Mai,2017-02-22,70
เชือกวิเศษ,Labanoon,2015-09-30,1
"Quarta Cadeira (Made Popular By Matheus & Kauan, Jorge & Mateus) [Karaoke Version]",Party Tyme Karaoke,2023-04-11,0
Kill Em With Kindness,Selena Gomez,2015-10-09,66
Dil Tod Ke,Rochak Kohli,2020-07-15,67
Kiss You,One Direction,2012-11-12,74
Despeinada,Ozuna,2020-09-04,72
Estranho - Ao Vivo | Acústico,Marília Mendonça,2018-04-13,51
Du hast,Rammstein,1997-08-25,71
Let Me Down Slowly,Alec Benjamin,2018-11-16,87
Hasta el Amanecer,Nicky Jam,2017-01-20,73
"Shree Hanuman Amritwani (From ""Shree Hanuman Amritwani"")",Anuradha Paudwal,2023-07-04,9
I Want To Break Free,Queen,2018-10-19,74
positions,Ariana Grande,2020-10-30,83
She Move It Like,Badshah,2018-08-17,66
Perfect,One Direction,2015-11-13,81
Perdóname,La Factoria,2006-12-04,78
Anti-Amor - Ao Vivo,Gustavo Mioto,2020-02-14,27
On My Way,Alan Walker,2019-03-21,75
Let Me Love You,Mario,2004-03-15,74
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,2022-12-12,77
Bubalu - Remix,Jona Mix,2023-09-27,33
Lean On (feat. MØ & DJ Snake),Major Lazer,2015-06-01,64
Lamberghini,The Doorbeen,2018-02-26,52
CHEER UP,TWICE,2016-04-25,68
La Cosa Mas Bella (Più Bella Cosa) - produced by John Shanks,Eros Ramazzotti,2007,24
Mr. Brightside,The Killers,2004,88
No Te Creas Tan Importante - En Vivo,Damas Gratis,2018-03-23,68
Beautiful Liar,Beyoncé,2007-05-29,74
Wolves,Selena Gomez,2017-10-25,80
Alejandro,Lady Gaga,2009-11-05,74
Eu Sei de Cor - Ao Vivo,Marília Mendonça,2023-05-24,25
Fantastic Baby,BIGBANG,2012-02-29,61
Maria Maria (feat. The Product G&B),Santana,1999,69
The Box,Roddy Ricch,2019-12-06,86
Adictiva,Daddy Yankee,2018-11-09,69
Love On Top,Beyoncé,2011-06-24,77
Let You Love Me,Rita Ora,2018-11-23,56
El Tóxico,Grupo Firme,2020-10-27,81
2/Catorce,Rauw Alejandro,2021-12-10,71
คู่คอง - เพลงประกอบละคร นาคี,Kong Huayrai,2016-09-26,47
En la Intimidad,Ozuna,2016-08-06,64
Cheri Cheri Lady,Modern Talking,1985,81
Te Dejo en Libertad - HA-ASH Primera Fila - Hecho Realidad [En Vivo],Ha*Ash,2014-11-11,51
"Kusu Kusu (From ""Satyameva Jayate 2"")",Tanishk Bagchi,2021-11-10,69
Remember the Time,Michael Jackson,1991-11-13,75
Castle on the Hill,Ed Sheeran,2017-03-03,81
Because of You,Kelly Clarkson,2004,75
Talk Dirty (feat. 2 Chainz),Jason Derulo,2013-09-10,77
De Quem É a Culpa? - Ao Vivo,Marília Mendonça,2017-03-06,69
Meu Carona,Hungria Hip Hop,2015-07-14,48
Esskeetit,Lil Pump,2018-04-13,56
Me Prefieres A Mi,Arcángel,2012-01-01,74
Copines,Aya Nakamura,2018-11-02,74
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Christina Aguilera,2001-09-03,67
295,Sidhu Moose Wala,2021-05-15,78
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,2022-02-14,73
Only,Nicki Minaj,2014-12-15,66
คำแพง,แซ็ค ชุมแพ,2018-01-01,42
Verte Ir - Remix,Maty Deejay,2023-08-31,8
Main Tera Boyfriend,Pritam,2017-06-03,66
Goa Beach,Tony Kakkar,2020-02-11,59
Delicate,Taylor Swift,2017-11-10,87
Lost on You,LP,2017-05-05,76
Vidinha De Balada - Ao Vivo,Henrique & Juliano,2017-02-03,33
"Yo x Ti, Tu x Mi",ROSALÍA,2019-08-15,74
Never Forget You,Zara Larsson,2017-03-17,75
Yo Te Esperaré,Cali Y El Dandee,2014-01-01,42
Purple Lamborghini (with Rick Ross),Skrillex,2016-07-22,68
Come As You Are,Nirvana,1991-09-26,82
Malibu,Miley Cyrus,2017-09-29,76
Si Supieras,Daddy Yankee,2019-06-28,71
Devuélveme El Corazón,Sebastian Yatra,2018-05-18,67
Life Goes On,BTS,2020-11-20,77
Eres,Café Tacvba,2003-07-01,77
FourFiveSeconds,Rihanna,2015-01-24,81
WANNABE,ITZY,2020-03-09,74
Whistle,Flo Rida,2012-06-22,81
XO Tour Llif3,Lil Uzi Vert,2017-08-25,84
Por Primera Vez,Camilo,2020-03-09,62
Hookah,Tyga,2014-01-01,61
Ramenez la coupe à la maison,Vegedream,2018-07-19,70
Slippery (feat. Gucci Mane),Migos,2017-01-27,70
Family Affair,Mary J. Blige,2001-08-28,81
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,2018-10-25,83
Hablemos,Ariel Camacho y Los Plebes Del Rancho,2015-10-07,73
Rise,Jonas Blue,2018-11-09,73
Me Vas a Extrañar,Banda MS de Sergio Lizárraga,2016-02-05,77
Hear Me Now,Alok,2016-10-21,78
HASTA ABAJO,KEVIN ROLDAN,2019-10-04,75
What A Beautiful Name,Hillsong Worship,2017-01-06,71
Sing For The Moment,Eminem,2002-05-26,80
how u make me feel,dj gummy bear,2023-05-12,67
Dulce Pecado,Jessi Uribe,2017-01-01,68
Suit Suit,Guru Randhawa,2017-11-10,67
When You're Gone,Avril Lavigne,2007-04-17,71
Just A Lil Bit,50 Cent,2005-03-03,80
Spring Day,BTS,2017-02-13,75
Te Vi,Piso 21,2018-12-14,79
21 Guns,Green Day,2009-05-15,77
Dutty Love,Don Omar,2023-04-14,10
Ice Ice Baby,Vanilla Ice,2008-11-04,72
Often - Kygo Remix,The Weeknd,2015-04-07,67
Right By My Side,Nicki Minaj,2012-01-01,57
Love Me,Justin Bieber,2009-01-01,71
2U (feat. Justin Bieber),David Guetta,2017-06-09,68
Sorry Not Sorry,Demi Lovato,2017-09-29,77
Happy Happy,Nacho,2018-05-11,48
Éxtasis,Millonario & W. Corona,2012-01-17,74
EL BARCO,KAROL G,2021-03-25,59
Good For You,Selena Gomez,2015-10-09,69
Tum Tum,Thaman S,2021-10-25,62
Zombie,Bad Wolves,2018-05-11,76
Te Quiero Pa´Mi,Don Omar,2016-11-11,68
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,2022-02-14,73
WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,80
I Knew You Were Trouble (Taylor's Version),Taylor Swift,2021-11-12,80
Bijlee Bijlee,Harrdy Sandhu,2021-10-30,73
Teri Aankhon Mein,Darshan Raval,2020-10-07,65
Rasputin,Boney M.,1994-03-14,71
Hero,Enrique Iglesias,2001-01-01,71
I'll Show You,Justin Bieber,2015-11-13,64
Dancing On My Own,Calum Scott,2018-03-09,83
BOP,DaBaby,2019-09-27,78
Silence,Marshmello,2017-08-11,84
Wonderwall,Oasis,2011-05-06,64
The Hook Up Song,Kumaar,2019-04-26,13
"Thunderclouds (feat. Sia, Diplo, and Labrinth)",Sia,2019-04-12,73
Meu Carona,Hungria Hip Hop,2015-07-14,48
Another Day in Paradise - 2016 Remaster,Phil Collins,1989-11-20,78
O Saathi,Atif Aslam,2018-03-09,76
Status Que Eu Não Queria - Ao Vivo,Zé Neto & Cristiano,2023-02-14,18
Nira Ishq,Guri,2019-02-21,68
Started From the Bottom,Drake,2013-01-01,69
Fireflies,Owl City,2009-01-01,80
comethru,Jeremy Zucker,2018-09-28,79
Hideaway,Kiesza,2014-10-21,67
Dembow,Danny Ocean,2019-03-22,76
Misturados / Péssimo Negócio - Ao Vivo,Dilsinho,2023-05-12,43
Sex on Fire,Kings of Leon,2008-09-23,84
Fuleragem,MC WM,2019-09-27,2
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2016-11-04,80
I CAN’T STOP ME (feat. BOYS LIKE GIRLS),TWICE,2023-11-22,64
"Oh Humsafar (From ""Oh Humsafar"")",Neha Kakkar,2019-02-28,50
As Long as You Love Me,Backstreet Boys,1997-08-12,77
Same Beef,Bohemia,2019-09-18,72
Mundo Encantado,Patati Patatá,2005-03-10,33
Show Yourself (Originally Performed by Idina Menzel & Evan Rachel Wood from Frozen 2) - Karaoke Version,KaraokePro,2019-12-09,0
Right Here Waiting,Richard Marx,1989-01-01,78
No Se Va - EN VIVO,Grupo Frontera,2022-04-28,73
Mujhse Dosti Karoge,Asha Bhosle,2002-06-12,50
One Last Time,Ariana Grande,2014-08-25,85
Miss Independent,Ne-Yo,2008-01-01,67
Somebody To Love,Justin Bieber,2010-01-01,73
I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,2007-11-13,63
Summertime Sadness,Lana Del Rey,2012-01-01,87
Favorito,Camilo,2020-03-26,64
Stay,Zedd,2017-02-23,78
Chocolat (feat. Awa Imani),Lartiste,2016-12-09,61
"Kesariya (From ""Brahmastra"")",Pritam,2022-07-17,79
Same Old Love,Selena Gomez,2015-10-09,72
Sankat Mochan Hanuman Ashtak,Satish Dehra,2002-03-25,26
Kamli,Pritam,2013-11-14,63
Sinto sua falta / É natural / Pra você acreditar / Pirata e tesouro - Ao vivo,Ferrugem,2019-07-19,59
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,2015-06-29,71
Tu Falta De Querer,Mon Laferte,2015-08-21,81
The Man Who Sold The World - Live,Nirvana,1994-11-01,77
Sigo Extrañándote,J Balvin,2016-06-24,71
"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,2019-05-24,71
Psychosocial,Slipknot,2008-08-20,78
Chhalakata Hamro Jawaniya,Pawan Singh,2016-01-13,55
Clandestino,Shakira,2018-06-08,69
Irreplaceable,Beyoncé,2007-05-29,72
Machafouhach,Mouh Milano,2020-11-03,51
As Long As You Love Me,Justin Bieber,2012-06-15,69
Mala Fama,Danna Paola,2020-02-07,71
Ye Raja Jai Na Bahriya,Rakesh Mishra,2020-05-27,67
I'll Never Love Again - Extended Version,Lady Gaga,2018-10-05,66
Time After Time,Cyndi Lauper,1983-10-14,80
Ciumeira - Ao Vivo,Marília Mendonça,2019-02-22,68
El Perdedor,Aventura,2006-12-19,78
Ishq Ka Raja,Addy Nagar,2019-01-31,51
Tranquila,J Balvin,2013-09-29,59
Sen Olsan Bari,Aleyna Tilki,2017-07-27,51
Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,2017-07-21,69
Bachpan Ka Pyaar,Badshah,2023-01-10,8
Lala Lori,Fazilpuria,2020-10-05,59
iSpy (feat. Lil Yachty),KYLE,2016-12-02,72
On & On - Cartoon x HAVSUN x WAYOUT Remix,Cartoon,2021-12-24,41
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,Robin Schulz,2014-09-16,70
Cry Me a River,Justin Timberlake,2002-11-04,78
Meet Me Halfway (Made Famous by Black Eyed Peas),The Pop Heroes,2009-12-01,5
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-01-19,74
Quien Sabe,NATTI NATASHA,2019-02-15,54
Virtual Diva,Don Omar,2021-08-05,50
Madura,Cosculluela,2018-04-13,82
Always Remember Us This Way,Lady Gaga,2018-10-05,84
La Jeepeta,Nio Garcia,2020-01-02,56
"Patola (From ""Blackmail"")",Guru Randhawa,2018-03-05,59
Cake By The Ocean,DNCE,2016-11-18,83
Maps,Maroon 5,2015-05-18,75
Volví,Aventura,2021-08-03,80
Mambo No. 5 (a Little Bit of...),Lou Bega,1999-07-19,78
I Need A Doctor,Dr. Dre,2011-02-01,72
Many Men (Wish Death),50 Cent,2019-10-25,29
Tan Fácil,CNCO,2016-08-26,61
Sinônimos (Ao Vivo),Zé Ramalho,2021-01-01,37
Supera - Ao Vivo,Marília Mendonça,2019-08-16,73
Perfect Symphony (Ed Sheeran & Andrea Bocelli),Ed Sheeran,2017-12-15,69
Pareja Del Año,Sebastian Yatra,2021-04-16,74
Coração Bandido,Marília Mendonça,2020-07-10,59
Facas - Ao Vivo,Diego & Victor Hugo,2021-01-01,24
Cold Heart - PNAU Remix,Elton John,2021-08-13,85
Sajanwa,Khesari Lal Yadav,2023-11-03,40
Yeh Galiyan Yeh Chaubara,Lata Mangeshkar,1982-12-01,26
Wavin’ Flag (In The Style Of K’naan),Karaoke - Ameritz,2010-06-02,6
Estoy Enamorado (with Pedro Capó) - Live Version,Thalia,2010-09-27,32
Clout (feat. Cardi B),Offset,2019-02-22,69
Salió El Sol,Don Omar,2006-01-01,80
10% - Ao Vivo,Maiara & Maraisa,2016-03-04,62
"Gerua (From ""Dilwale"")",Pritam,2015-11-17,66
DDU-DU DDU-DU,BLACKPINK,2018-06-15,70
"Take Me Home, Country Roads - Original Version",John Denver,1971,76
Black Swan,BTS,2020-01-17,63
Got 2 Luv U (feat. Alexis Jordan),Sean Paul,2012-01-24,68
"Fronteamos Porque Podemos (feat. Daddy Yankee, Yandel & Nengo Flow)",De La Ghetto,2015-08-28,65
Kill This Love,BLACKPINK,2019-04-05,71
Livin' la Vida Loca,Ricky Martin,1999,76
Cuál Adiós,Banda Clave Nueva,2021-12-10,47
Secret Love Song (feat. Jason Derulo),Little Mix,2015-11-06,77
Panda,Desiigner,2016-02-26,69
Shower,Becky G,2014-04-23,79
Hermosa Experiencia,Banda MS de Sergio Lizárraga,2013-10-01,75
Thương Lắm Thầy Cô Ơi,Bé Phan Hiếu Kiên,2020-08-08,1
That That (prod.&feat. SUGA of BTS),PSY,2022-04-29,75
It Wasn't Me,Shaggy,2000-08-08,81
Você Partiu Meu Coração (feat. Anitta & Wesley Safadão),Nego do Borel,2017-01-10,55
drivers license,Olivia Rodrigo,2021-05-21,87
"Hookah Bar (From ""Khiladi 786"")",Himesh Reshammiya,2016-08-15,18
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",Pritam,2016-10-26,75
Maan Meri Jaan,King,2022-10-12,81
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,1997-08-12,78
Aléjate de Mí,Camila,2010-02-09,73
Deus e Eu,Leandro Borges,2014-12-20,25
Reloj,Rauw Alejandro,2020-11-13,72
Loo (Aghani Men Hayati),Saif Nabeel,2021-04-15,13
Feel Special,TWICE,2019-09-23,73
Te Ire A Buscar,Santa Fe Klan,2019-06-18,75
Bad Liar,Imagine Dragons,2018-11-09,83
Pretender,OFFICIAL HIGE DANDISM,2019-08-31,62
Robbery,Juice WRLD,2019-03-08,50
Scar Tissue,Red Hot Chili Peppers,1999-06-08,85
Bande organisée,Kofs,2020-08-15,70
Etnaset,Muslim - مُسلِم,2021-10-21,63
Mistletoe,Justin Bieber,2011-01-01,90
Nachange Saari Raat,Meet Bros.,2016-05-30,61
Like Ooh-Ahh,TWICE,2015-10-20,67
Sobrio,Maluma,2021-07-08,75
Wish You Were Here,Avril Lavigne,2011-03-08,69
Amantes de una Noche,NATTI NATASHA,2018-01-12,68
ห้องนอน,FRIDAY NIGHT to SUNDAY,2017-09-15,47
Tu No Metes Cabra,Bad Bunny,2017-07-06,70
Lal Dupatta,Antra Singh Priyanka,2021-06-17,24
Imposible,Luis Fonsi,2018-10-19,60
Pour It Up,Aida Rojo,2020-06-02,18
Dhire Dhire,Kumar Sanu,2022-07-16,5
We Are the Champions (Ding a Dang Dong) - Radio Edit,Crazy Frog,2006-07-14,52
Modo Safado,Zé Felipe,2023-11-28,61
Equivocada - Live Version,Thalia,2009-11-30,61
Tengo Que Colgar,Banda MS de Sergio Lizárraga,2016-02-05,68
Sandese Aate Hai,Sonu Nigam,1999-03-26,59
Iris,The Goo Goo Dolls,1998-09-11,88
Propaganda - Ao Vivo,Jorge & Mateus,2023-05-25,30
My Way,Calvin Harris,2016-09-16,80
Param Sundari,A.R. Rahman,2021-07-16,71
Please Me,Cardi B,2019-02-15,78
Siempre Te Voy A Querer,Calibre 50,2016-09-23,70
Háblame De Ti,Banda MS de Sergio Lizárraga,2014-06-24,77
Chand Sifarish,Jatin-Lalit,2006-04-12,72
Atrasadinha - Live,Felipe Araújo,2018-09-19,50
El Préstamo,Maluma,2018-05-18,64
Reminder,The Weeknd,2016-11-25,88
Me Dediqué a Perderte,Alejandro Fernández,2004-09-01,79
Amiga mía,Alejandro Sanz,2011-10-19,35
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2020-07-03,80
Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,2019-05-17,67
Na Hora Da Raiva - Ao Vivo,Henrique & Juliano,2015-10-09,29
ถ้าเธอรักใครคนหนึ่ง OST.บุพเพสันนิวาส 2,Ink Waruntorn,2022-07-14,55
HIGH - Jonz Brytiago,Dominio,2023-10-26,47
Tu Aake Dekhle,King,2020-09-21,78
Lay Me Down,Sam Smith,2014-05-26,73
Que Mas Pues - Remix,Sech,2019-04-19,71
Stronger (What Doesn't Kill You),Kelly Clarkson,2011-10-24,78
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello),Pitbull,2017-03-10,65
"Yaad Piya Ki Aane Lagi (From ""Yaad Piya Ki Aane Lagi"")",Neha Kakkar,2022-07-20,3
Love Dose,Yo Yo Honey Singh,2014-09-26,76
Creo en Ti,Reik,2012-06-22,61
Papi,Jennifer Lopez,2011-01-01,60
One More Time,Daft Punk,2001-03-12,78
"Circle of Life - From ""The Lion King"" Soundtrack",Carmen Twillie,2001-01-01,39
First of the Year (Equinox),Skrillex,2011-06-07,65
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,2021-07-30,78
Shout Out to My Ex,Little Mix,2016-11-18,75
Give Your Heart a Break,Demi Lovato,2011-01-01,73
Closer (Originally Performed by the Chainsmokers Ft. Halsey) - Instrumental Version,Hit The Button Karaoke,2016-08-19,2
"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,2019-10-07,55
Wake Me Up,Avicii,2013-01-01,88
Moscow Mule,Bad Bunny,2022-05-06,84
Poblado - Remix,J Balvin,2021-06-18,71
Save That Shit,Lil Peep,2017-08-15,79
Swang,Rae Sremmurd,2016-08-12,77
LOCATION,KAROL G,2021-02-12,61
Juju On That Beat,Zay Hilfigerrr & Zayion McCall,2018-09-12,50
All I Want for Christmas Is You,Mariah Carey,1994-10-28,97
Não Deixo Não,Mano Walter,2017-06-30,56
Sosseguei - Ao Vivo,Jorge & Mateus,2016-02-19,60
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-05-12,74
One Way or Another (Teenage Kicks),One Direction,2013-02-17,66
Say So (feat. Nicki Minaj),Doja Cat,2020-05-01,61
Dark Necessities,Red Hot Chili Peppers,2016-06-17,76
Pero Me Acuerdo de Tí,Christina Aguilera,2000,67
Cool for the Summer,Demi Lovato,2015-01-01,81
"Lambiyaan Si Judaiyaan (From ""Raabta"")",Arijit Singh,2017-05-19,53
Hornn Blow,Harrdy Sandhu,2016-04-12,67
Es un Secreto,Plan B,2010-07-20,86
Build a Bitch,Bella Poarch,2021-05-14,74
Ecos De Amor,Jesse & Joy,2015-12-04,74
Decode,Paramore,2008-11-04,75
Yalla,INNA,2015-10-30,45
Panini,Lil Nas X,2019-09-13,72
Me Vas a Extrañar - En Vivo,Damas Gratis,2018-09-07,67
Love Me Like You,Little Mix,2015-11-06,75
Liberdade Provisória - Live - Ibirapuera / 2019,Henrique & Juliano,2020-01-31,16
Killing Me Softly With His Song,Fugees,1996-02-13,80
Amor del Bueno,Reyli Barba,2004-09-14,78
The Climb,Miley Cyrus,2009-01-01,76
Alô Porteiro - Ao Vivo,Marília Mendonça,2016-03-04,61
"Aashiq Banaya Aapne (From ""Aashiq Banaya Aapne"")",Himesh Reshammiya,2023-07-21,2
"Makhna - From ""Drive""",Yasser Desai,2019-10-03,27
Ya Supérame (En Vivo),Grupo Firme,2021-08-13,77
"Abrázame Muy Fuerte - En Vivo Desde Bellas Artes, México/ 2013",Juan Gabriel,2014-01-01,49
Don't Cha,The Pussycat Dolls,2005-01-01,75
Razzi Bolja,Harjeet Deewana,2021-01-17,57
Chhor Denge,Sachet-Parampara,2021-02-04,57
Illegal Weapon 2.0,Jasmine Sandlas,2020-02-13,69
The Chipmunk Song (Christmas Don't Be Late),Bryson Tiller,2021-12-17,47
Loco Enamorado,Abraham Mateo,2017-06-23,60
Boom Boom Pow (Made Famous by Black Eyed Peas),The Pop Heroes,2009-12-01,2
Llegamos A La Disco,Daddy Yankee,2012-01-01,68
Pa' Olvidarme De Ella,Piso 21,2019-09-06,71
Si Tú La Ves (feat. Wisin),Nicky Jam,2017-01-20,66
"Vaathi Coming (From ""Master"")",Anirudh Ravichander,2020-03-10,61
Jeeb Tur (feat. Thaikoon),Illslick,2014-03-24,45
Abusadamente,MC Gustta,2017-08-21,65
Badshah O Badshah,Dj Anil Thakur,2023-02-23,10
Laugh Now Cry Later - slowed down + reverb,Covers Unplugged,2023-08-09,3
