Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify),Genre
Tum Tum,Thaman S,2021-10-25,62,"['alternative metal', 'metal', 'post-grunge']"
Zombie,Bad Wolves,2018-05-11,76,"['pop', 'post-teen pop']"
Te Quiero Pa´Mi,Don Omar,2016-11-11,68,"['desi pop', 'filmi', 'punjabi pop']"
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,2022-02-14,73,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']"
WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,80,"['desi hip hop', 'filmi', 'tamil hip hop']"
I Knew You Were Trouble (Taylor's Version),Taylor Swift,2021-11-12,80,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Bijlee Bijlee,Harrdy Sandhu,2021-10-30,73,"['dance pop', 'latin pop', 'mexican pop']"
Teri Aankhon Mein,Darshan Raval,2020-10-07,65,['pop']
Rasputin,Boney M.,1994-03-14,71,['europop']
Hero,Enrique Iglesias,2001-01-01,71,"['pop', 'rap']"
I'll Show You,Justin Bieber,2015-11-13,64,"['canadian pop', 'pop']"
Dancing On My Own,Calum Scott,2018-03-09,83,['pop']
BOP,DaBaby,2019-09-27,78,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
Silence,Marshmello,2017-08-11,84,"['brostep', 'edm', 'pop', 'progressive electro house']"
Wonderwall,Oasis,2011-05-06,64,['modern bollywood']
The Hook Up Song,Kumaar,2019-04-26,13,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
"Thunderclouds (feat. Sia, Diplo, and Labrinth)",Sia,2019-04-12,73,"['rock drums', 'soft rock']"
Meu Carona,Hungria Hip Hop,2015-07-14,48,"['desi hip hop', 'doujin', 'punjabi pop']"
Another Day in Paradise - 2016 Remaster,Phil Collins,1989-11-20,78,"['brazilian hip hop', 'rap df']"
O Saathi,Atif Aslam,2018-03-09,76,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']"
Status Que Eu Não Queria - Ao Vivo,Zé Neto & Cristiano,2023-02-14,18,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
Nira Ishq,Guri,2019-02-21,68,"['australian dance', 'australian pop', 'pop']"
Started From the Bottom,Drake,2013-01-01,69,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Fireflies,Owl City,2009-01-01,80,"['indietronica', 'pop']"
comethru,Jeremy Zucker,2018-09-28,79,"['alt z', 'electropop', 'pop']"
Hideaway,Kiesza,2014-10-21,67,"['electropop', 'pop edm']"
Dembow,Danny Ocean,2019-03-22,76,"['modern rock', 'rock']"
Misturados / Péssimo Negócio - Ao Vivo,Dilsinho,2023-05-12,43,"['pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']"
Sex on Fire,Kings of Leon,2008-09-23,84,"['k-pop', 'k-pop girl group', 'pop']"
Fuleragem,MC WM,2019-09-27,2,"['pagode', 'pagode novo', 'sertanejo universitario']"
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2016-11-04,80,"['edm', 'pop dance', 'uk dance']"
I CAN’T STOP ME (feat. BOYS LIKE GIRLS),TWICE,2023-11-22,64,"['filmi', 'modern bollywood']"
"Oh Humsafar (From ""Oh Humsafar"")",Neha Kakkar,2019-02-28,50,"['desi hip hop', 'pakistani hip hop', 'punjabi hip hop']"
As Long as You Love Me,Backstreet Boys,1997-08-12,77,['musica infantil']
Same Beef,Bohemia,2019-09-18,72,"['new wave pop', 'soft rock']"
Mundo Encantado,Patati Patatá,2005-03-10,33,['karaoke']
Show Yourself (Originally Performed by Idina Menzel & Evan Rachel Wood from Frozen 2) - Karaoke Version,KaraokePro,2019-12-09,0,"['funk carioca', 'funk ostentacao']"
Right Here Waiting,Richard Marx,1989-01-01,78,['musica chihuahuense']
No Se Va - EN VIVO,Grupo Frontera,2022-04-28,73,['pop']
Mujhse Dosti Karoge,Asha Bhosle,2002-06-12,50,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
One Last Time,Ariana Grande,2014-08-25,85,"['chutney', 'classic bollywood', 'filmi']"
Miss Independent,Ne-Yo,2008-01-01,67,['cartoon']
Somebody To Love,Justin Bieber,2010-01-01,73,"['canadian pop', 'pop']"
I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,2007-11-13,63,"['art pop', 'pop']"
Summertime Sadness,Lana Del Rey,2012-01-01,87,"['boy band', 'dance pop', 'pop']"
Favorito,Camilo,2020-03-26,64,"['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']"
Stay,Zedd,2017-02-23,78,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']"
Chocolat (feat. Awa Imani),Lartiste,2016-12-09,61,"['french hip hop', 'pop urbaine']"
"Kesariya (From ""Brahmastra"")",Pritam,2022-07-17,79,['bhajan']
Same Old Love,Selena Gomez,2015-10-09,72,"['filmi', 'indian instrumental', 'modern bollywood']"
Sankat Mochan Hanuman Ashtak,Satish Dehra,2002-03-25,26,"['pop', 'post-teen pop']"
Kamli,Pritam,2013-11-14,63,"['filmi', 'indian instrumental', 'modern bollywood']"
Sinto sua falta / É natural / Pra você acreditar / Pirata e tesouro - Ao vivo,Ferrugem,2019-07-19,59,"['pagode', 'pagode novo', 'sertanejo universitario']"
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,2015-06-29,71,"['grunge', 'permanent wave', 'rock']"
Tu Falta De Querer,Mon Laferte,2015-08-21,81,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The Man Who Sold The World - Live,Nirvana,1994-11-01,77,['latin alternative']
Sigo Extrañándote,J Balvin,2016-06-24,71,"['desi pop', 'filmi', 'modern bhajan', 'modern bollywood']"
"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,2019-05-24,71,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
Psychosocial,Slipknot,2008-08-20,78,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Chhalakata Hamro Jawaniya,Pawan Singh,2016-01-13,55,"['pop', 'r&b']"
Clandestino,Shakira,2018-06-08,69,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Irreplaceable,Beyoncé,2007-05-29,72,['bhojpuri pop']
Machafouhach,Mouh Milano,2020-11-03,51,['rai']
As Long As You Love Me,Justin Bieber,2012-06-15,69,"['latin pop', 'latin viral pop', 'mexican pop']"
Mala Fama,Danna Paola,2020-02-07,71,"['canadian pop', 'pop']"
Ye Raja Jai Na Bahriya,Rakesh Mishra,2020-05-27,67,['bhojpuri pop']
I'll Never Love Again - Extended Version,Lady Gaga,2018-10-05,66,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']"
Time After Time,Cyndi Lauper,1983-10-14,80,"['art pop', 'dance pop', 'pop']"
Ciumeira - Ao Vivo,Marília Mendonça,2019-02-22,68,"['arrocha', 'sertanejo', 'sertanejo universitario']"
El Perdedor,Aventura,2006-12-19,78,[]
Ishq Ka Raja,Addy Nagar,2019-01-31,51,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']"
Tranquila,J Balvin,2013-09-29,59,['pop']
Sen Olsan Bari,Aleyna Tilki,2017-07-27,51,['turkish pop']
Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,2017-07-21,69,"['desi hip hop', 'desi trap', 'filmi', 'modern bollywood']"
Bachpan Ka Pyaar,Badshah,2023-01-10,8,"['desi hip hop', 'haryanvi hip hop']"
Lala Lori,Fazilpuria,2020-10-05,59,"['deep underground hip hop', 'indie pop rap', 'pop rap']"
iSpy (feat. Lil Yachty),KYLE,2016-12-02,72,['gaming edm']
On & On - Cartoon x HAVSUN x WAYOUT Remix,Cartoon,2021-12-24,41,"['dance pop', 'pop']"
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,Robin Schulz,2014-09-16,70,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Cry Me a River,Justin Timberlake,2002-11-04,78,[]
Meet Me Halfway (Made Famous by Black Eyed Peas),The Pop Heroes,2009-12-01,5,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']"
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018-01-19,74,"['dance pop', 'pop']"
Quien Sabe,NATTI NATASHA,2019-02-15,54,['pop']
Virtual Diva,Don Omar,2021-08-05,50,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Madura,Cosculluela,2018-04-13,82,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
Always Remember Us This Way,Lady Gaga,2018-10-05,84,"['boy band', 'latin pop', 'reggaeton', 'urbano latino']"
La Jeepeta,Nio Garcia,2020-01-02,56,"['arrocha', 'sertanejo', 'sertanejo universitario']"
"Patola (From ""Blackmail"")",Guru Randhawa,2018-03-05,59,"['pop', 'singer-songwriter pop', 'uk pop']"
Cake By The Ocean,DNCE,2016-11-18,83,"['arrocha', 'sertanejo', 'sertanejo universitario']"
Maps,Maroon 5,2015-05-18,75,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']"
Volví,Aventura,2021-08-03,80,"['pop dance', 'uk dance', 'uk funky']"
Mambo No. 5 (a Little Bit of...),Lou Bega,1999-07-19,78,"['reggaeton', 'trap latino', 'urbano latino']"
I Need A Doctor,Dr. Dre,2011-02-01,72,"['filmi', 'modern bollywood']"
Many Men (Wish Death),50 Cent,2019-10-25,29,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']"
Tan Fácil,CNCO,2016-08-26,61,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
Sinônimos (Ao Vivo),Zé Ramalho,2021-01-01,37,['bhojpuri pop']
Supera - Ao Vivo,Marília Mendonça,2019-08-16,73,"['classic bollywood', 'filmi', 'lata']"
Perfect Symphony (Ed Sheeran & Andrea Bocelli),Ed Sheeran,2017-12-15,69,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Pareja Del Año,Sebastian Yatra,2021-04-16,74,"['filmi', 'indian instrumental', 'modern bollywood']"
Coração Bandido,Marília Mendonça,2020-07-10,59,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Facas - Ao Vivo,Diego & Victor Hugo,2021-01-01,24,"['k-pop', 'k-pop girl group', 'pop']"
Cold Heart - PNAU Remix,Elton John,2021-08-13,85,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
Sajanwa,Khesari Lal Yadav,2023-11-03,40,"['dance pop', 'dancehall', 'pop', 'pop rap']"
Yeh Galiyan Yeh Chaubara,Lata Mangeshkar,1982-12-01,26,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
Wavin’ Flag (In The Style Of K’naan),Karaoke - Ameritz,2010-06-02,6,"['k-pop', 'k-pop girl group', 'pop']"
Estoy Enamorado (with Pedro Capó) - Live Version,Thalia,2010-09-27,32,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Clout (feat. Cardi B),Offset,2019-02-22,69,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Salió El Sol,Don Omar,2006-01-01,80,"['art pop', 'dance pop', 'pop']"
10% - Ao Vivo,Maiara & Maraisa,2016-03-04,62,"['latin pop', 'mexican pop', 'puerto rican pop']"
"Gerua (From ""Dilwale"")",Pritam,2015-11-17,66,['latin pop']
DDU-DU DDU-DU,BLACKPINK,2018-06-15,70,"['banda', 'musica mexicana', 'norteno']"
"Take Me Home, Country Roads - Original Version",John Denver,1971,76,"['girl group', 'pop', 'talent show', 'uk pop']"
Black Swan,BTS,2020-01-17,63,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']"
Got 2 Luv U (feat. Alexis Jordan),Sean Paul,2012-01-24,68,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
"Fronteamos Porque Podemos (feat. Daddy Yankee, Yandel & Nengo Flow)",De La Ghetto,2015-08-28,65,"['latin pop', 'mexican pop']"
Kill This Love,BLACKPINK,2019-04-05,71,['karaoke']
Livin' la Vida Loca,Ricky Martin,1999,76,['mpb']
Cuál Adiós,Banda Clave Nueva,2021-12-10,47,[]
Secret Love Song (feat. Jason Derulo),Little Mix,2015-11-06,77,"['k-rap', 'korean old school hip hop']"
Panda,Desiigner,2016-02-26,69,"['banda', 'musica mexicana', 'norteno']"
Shower,Becky G,2014-04-23,79,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Hermosa Experiencia,Banda MS de Sergio Lizárraga,2013-10-01,75,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Thương Lắm Thầy Cô Ơi,Bé Phan Hiếu Kiên,2020-08-08,1,"['pop rap', 'reggae fusion']"
That That (prod.&feat. SUGA of BTS),PSY,2022-04-29,75,"['filmi', 'modern bollywood']"
It Wasn't Me,Shaggy,2000-08-08,81,['pop']
Você Partiu Meu Coração (feat. Anitta & Wesley Safadão),Nego do Borel,2017-01-10,55,"['funk carioca', 'funk das antigas', 'funk ostentacao', 'funk pop', 'sertanejo universitario']"
drivers license,Olivia Rodrigo,2021-05-21,87,"['filmi', 'indian instrumental', 'modern bollywood']"
"Hookah Bar (From ""Khiladi 786"")",Himesh Reshammiya,2016-08-15,18,"['desi pop', 'hindi hip hop']"
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",Pritam,2016-10-26,75,['brazilian gospel']
Maan Meri Jaan,King,2022-10-12,81,"['latin arena pop', 'latin pop']"
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,1997-08-12,78,"['boy band', 'dance pop', 'pop']"
Aléjate de Mí,Camila,2010-02-09,73,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Deus e Eu,Leandro Borges,2014-12-20,25,"['arab pop', 'khaleeji iraqi', 'khaliji']"
Reloj,Rauw Alejandro,2020-11-13,72,"['k-pop', 'k-pop girl group', 'pop']"
Loo (Aghani Men Hayati),Saif Nabeel,2021-04-15,13,['mexican hip hop']
Feel Special,TWICE,2019-09-23,73,"['anime', 'anime rock', 'j-pop']"
Te Ire A Buscar,Santa Fe Klan,2019-06-18,75,"['modern rock', 'pop', 'rock']"
Bad Liar,Imagine Dragons,2018-11-09,83,"['chicago rap', 'melodic rap', 'rap']"
Pretender,OFFICIAL HIGE DANDISM,2019-08-31,62,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Robbery,Juice WRLD,2019-03-08,50,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap francais', 'rap marseille']"
Scar Tissue,Red Hot Chili Peppers,1999-06-08,85,"['desi pop', 'filmi', 'modern bollywood']"
Bande organisée,Kofs,2020-08-15,70,"['k-pop', 'k-pop girl group', 'pop']"
Etnaset,Muslim - مُسلِم,2021-10-21,63,"['canadian pop', 'pop']"
Mistletoe,Justin Bieber,2011-01-01,90,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Nachange Saari Raat,Meet Bros.,2016-05-30,61,"['canadian pop', 'candy pop', 'dance pop', 'pop']"
Like Ooh-Ahh,TWICE,2015-10-20,67,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']"
Sobrio,Maluma,2021-07-08,75,['egyptian alternative']
Wish You Were Here,Avril Lavigne,2011-03-08,69,['thai viral pop']
Amantes de una Noche,NATTI NATASHA,2018-01-12,68,['rap femenino mexicano']
ห้องนอน,FRIDAY NIGHT to SUNDAY,2017-09-15,47,['bhojpuri pop']
Tu No Metes Cabra,Bad Bunny,2017-07-06,70,"['latin pop', 'puerto rican pop']"
Lal Dupatta,Antra Singh Priyanka,2021-06-17,24,"['reggaeton', 'trap latino', 'urbano latino']"
Imposible,Luis Fonsi,2018-10-19,60,[]
Pour It Up,Aida Rojo,2020-06-02,18,"['agronejo', 'arrocha', 'arrochadeira', 'sertanejo', 'sertanejo universitario']"
Dhire Dhire,Kumar Sanu,2022-07-16,5,"['latin pop', 'mexican pop']"
We Are the Champions (Ding a Dang Dong) - Radio Edit,Crazy Frog,2006-07-14,52,"['banda', 'musica mexicana', 'norteno']"
Modo Safado,Zé Felipe,2023-11-28,61,"['filmi', 'modern bollywood']"
Equivocada - Live Version,Thalia,2009-11-30,61,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
Tengo Que Colgar,Banda MS de Sergio Lizárraga,2016-02-05,68,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']"
Sandese Aate Hai,Sonu Nigam,1999-03-26,59,['filmi']
Iris,The Goo Goo Dolls,1998-09-11,88,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
Propaganda - Ao Vivo,Jorge & Mateus,2023-05-25,30,"['pop', 'rap']"
My Way,Calvin Harris,2016-09-16,80,"['filmi', 'modern bollywood']"
Param Sundari,A.R. Rahman,2021-07-16,71,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']"
Please Me,Cardi B,2019-02-15,78,"['banda', 'musica mexicana', 'norteno']"
Siempre Te Voy A Querer,Calibre 50,2016-09-23,70,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Háblame De Ti,Banda MS de Sergio Lizárraga,2014-06-24,77,"['arrocha', 'sertanejo', 'sertanejo universitario']"
Chand Sifarish,Jatin-Lalit,2006-04-12,72,"['afghan pop', 'chutney', 'classic bollywood', 'filmi']"
Atrasadinha - Live,Felipe Araújo,2018-09-19,50,"['latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'musica mexicana', 'ranchera']"
El Préstamo,Maluma,2018-05-18,64,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Reminder,The Weeknd,2016-11-25,88,"['brooklyn drill', 'rap']"
Me Dediqué a Perderte,Alejandro Fernández,2004-09-01,79,"['cantautor', 'latin arena pop', 'latin pop', 'mexican pop']"
Amiga mía,Alejandro Sanz,2011-10-19,35,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2020-07-03,80,"['arrocha', 'sertanejo', 'sertanejo universitario']"
Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,2019-05-17,67,"['thai indie pop', 'thai pop']"
Na Hora Da Raiva - Ao Vivo,Henrique & Juliano,2015-10-09,29,[]
ถ้าเธอรักใครคนหนึ่ง OST.บุพเพสันนิวาส 2,Ink Waruntorn,2022-07-14,55,"['desi pop', 'hindi hip hop']"
HIGH - Jonz Brytiago,Dominio,2023-10-26,47,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']"
Tu Aake Dekhle,King,2020-09-21,78,"['pop', 'uk pop']"
Lay Me Down,Sam Smith,2014-05-26,73,"['dance pop', 'pop', 'talent show']"
Que Mas Pues - Remix,Sech,2019-04-19,71,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Stronger (What Doesn't Kill You),Kelly Clarkson,2011-10-24,78,"['filmi', 'hindi hip hop', 'modern bollywood']"
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello),Pitbull,2017-03-10,65,"['filmi', 'modern bollywood']"
"Yaad Piya Ki Aane Lagi (From ""Yaad Piya Ki Aane Lagi"")",Neha Kakkar,2022-07-20,3,"['k-pop', 'k-pop boy group', 'pop']"
Love Dose,Yo Yo Honey Singh,2014-09-26,76,"['latin arena pop', 'latin pop', 'mexican pop', 'reggaeton', 'urbano latino']"
Creo en Ti,Reik,2012-06-22,61,"['dance pop', 'pop', 'urban contemporary']"
Papi,Jennifer Lopez,2011-01-01,60,"['electro', 'filter house', 'rock']"
One More Time,Daft Punk,2001-03-12,78,['movie tunes']
"Circle of Life - From ""The Lion King"" Soundtrack",Carmen Twillie,2001-01-01,39,"['dance pop', 'miami hip hop', 'pop']"
First of the Year (Equinox),Skrillex,2011-06-07,65,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']"
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,2021-07-30,78,"['desi pop', 'filmi', 'modern bollywood']"
Shout Out to My Ex,Little Mix,2016-11-18,75,"['girl group', 'pop', 'talent show', 'uk pop']"
Give Your Heart a Break,Demi Lovato,2011-01-01,73,['karaoke']
Closer (Originally Performed by the Chainsmokers Ft. Halsey) - Instrumental Version,Hit The Button Karaoke,2016-08-19,2,"['cloud rap', 'emo rap', 'lgbtq+ hip hop']"
"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,2019-10-07,55,"['filmi', 'modern bollywood']"
Wake Me Up,Avicii,2013-01-01,88,"['pop', 'post-teen pop']"
Moscow Mule,Bad Bunny,2022-05-06,84,"['reggaeton', 'trap latino', 'urbano latino']"
Poblado - Remix,J Balvin,2021-06-18,71,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']"
Save That Shit,Lil Peep,2017-08-15,79,"['dance pop', 'edm', 'pop', 'pop dance']"
Swang,Rae Sremmurd,2016-08-12,77,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
LOCATION,KAROL G,2021-02-12,61,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Juju On That Beat,Zay Hilfigerrr & Zayion McCall,2018-09-12,50,"['dance pop', 'pop', 'urban contemporary']"
All I Want for Christmas Is You,Mariah Carey,1994-10-28,97,"['forro', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Não Deixo Não,Mano Walter,2017-06-30,56,['modern alternative pop']
Sosseguei - Ao Vivo,Jorge & Mateus,2016-02-19,60,"['latin arena pop', 'latin pop', 'mexican pop']"
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-05-12,74,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']"
One Way or Another (Teenage Kicks),One Direction,2013-02-17,66,"['dance pop', 'romanian house', 'romanian pop']"
Say So (feat. Nicki Minaj),Doja Cat,2020-05-01,61,['lgbtq+ hip hop']
Dark Necessities,Red Hot Chili Peppers,2016-06-17,76,"['cumbia 420', 'cumbia pop', 'cumbia villera']"
Pero Me Acuerdo de Tí,Christina Aguilera,2000,67,[]
Cool for the Summer,Demi Lovato,2015-01-01,81,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
"Lambiyaan Si Judaiyaan (From ""Raabta"")",Arijit Singh,2017-05-19,53,"['ohio hip hop', 'pop rap']"
Hornn Blow,Harrdy Sandhu,2016-04-12,67,"['girl group', 'pop', 'talent show', 'uk pop']"
Es un Secreto,Plan B,2010-07-20,86,"['dance pop', 'pop']"
Build a Bitch,Bella Poarch,2021-05-14,74,"['desi pop', 'filmi', 'punjabi pop']"
Ecos De Amor,Jesse & Joy,2015-12-04,74,"['pop', 'post-teen pop']"
Decode,Paramore,2008-11-04,75,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Yalla,INNA,2015-10-30,45,"['dance pop', 'pop']"
Panini,Lil Nas X,2019-09-13,72,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Me Vas a Extrañar - En Vivo,Damas Gratis,2018-09-07,67,"['east coast hip hop', 'hip hop', 'neo soul', 'new jersey rap']"
Love Me Like You,Little Mix,2015-11-06,75,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
Liberdade Provisória - Live - Ibirapuera / 2019,Henrique & Juliano,2020-01-31,16,"['latin pop', 'mexican pop']"
Killing Me Softly With His Song,Fugees,1996-02-13,80,['pop']
Amor del Bueno,Reyli Barba,2004-09-14,78,"['filmi', 'modern bollywood']"
The Climb,Miley Cyrus,2009-01-01,76,"['desi pop', 'filmi', 'modern bollywood']"
Alô Porteiro - Ao Vivo,Marília Mendonça,2016-03-04,61,"['arrocha', 'sertanejo', 'sertanejo universitario']"
"Aashiq Banaya Aapne (From ""Aashiq Banaya Aapne"")",Himesh Reshammiya,2023-07-21,2,"['dance pop', 'girl group', 'pop']"
"Makhna - From ""Drive""",Yasser Desai,2019-10-03,27,"['musica mexicana', 'norteno', 'sierreno']"
Ya Supérame (En Vivo),Grupo Firme,2021-08-13,77,['haryanvi pop']
"Abrázame Muy Fuerte - En Vivo Desde Bellas Artes, México/ 2013",Juan Gabriel,2014-01-01,49,"['cancion melodica', 'latin pop', 'mariachi', 'musica mexicana', 'ranchera']"
Don't Cha,The Pussycat Dolls,2005-01-01,75,"['desi pop', 'filmi', 'modern bollywood']"
Razzi Bolja,Harjeet Deewana,2021-01-17,57,"['desi pop', 'punjabi pop']"
Chhor Denge,Sachet-Parampara,2021-02-04,57,"['kentucky hip hop', 'r&b', 'rap']"
Illegal Weapon 2.0,Jasmine Sandlas,2020-02-13,69,"['latin arena pop', 'latin pop', 'latin viral pop', 'reggaeton', 'spanish pop']"
The Chipmunk Song (Christmas Don't Be Late),Bryson Tiller,2021-12-17,47,[]
Loco Enamorado,Abraham Mateo,2017-06-23,60,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Boom Boom Pow (Made Famous by Black Eyed Peas),The Pop Heroes,2009-12-01,2,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Llegamos A La Disco,Daddy Yankee,2012-01-01,68,"['thai hip hop', 'thai pop']"
Pa' Olvidarme De Ella,Piso 21,2019-09-06,71,"['desi hip hop', 'filmi', 'tamil hip hop']"
Si Tú La Ves (feat. Wisin),Nicky Jam,2017-01-20,66,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
"Vaathi Coming (From ""Master"")",Anirudh Ravichander,2020-03-10,61,"['funk carioca', 'funk ostentacao']"
Jeeb Tur (feat. Thaikoon),Illslick,2014-03-24,45,[]
Abusadamente,MC Gustta,2017-08-21,65,"['electro latino', 'spanish pop']"
Badshah O Badshah,Dj Anil Thakur,2023-02-23,10,"['boom bap espanol', 'rap conciencia', 'rap politico', 'trap latino', 'venezuelan hip hop']"
Laugh Now Cry Later - slowed down + reverb,Covers Unplugged,2023-08-09,3,['pop']
He Llorado (Como Un Niño),Juan Magán,2023-08-25,5,['lo-fi cover']
Jeremías 17-5,Canserbero,2012,74,"['r&b en espanol', 'spanish hip hop', 'trap latino', 'urbano espanol', 'urbano latino']"
When You Believe - from The Prince of Egypt,Whitney Houston,1998-11-17,69,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']"
A Mí,Rels B,2019-02-21,84,"['art pop', 'dance pop', 'pop']"
Judas,Lady Gaga,2011-05-23,77,"['spanish pop', 'spanish pop rock']"
All Star,Smash Mouth,1999-06-08,81,"['pop rock', 'post-grunge']"
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,2019-07-25,75,['latin pop']
La Gloria de Dios (feat. Evaluna Montaner),Ricardo Montaner,2012-10-16,61,"['filmi', 'modern bollywood']"
La promesa,Melendi,2021-12-03,8,"['turkish deep house', 'turkish edm']"
"Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,2020-01-15,65,"['filmi', 'modern bollywood']"
Feel (feat. Sena Sener) - X-Kom Remix,Mahmut Orhan,2016,40,"['funk carioca', 'funk ostentacao', 'funk paulista']"
Baby Girl,Guru Randhawa,2020-10-01,60,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
Novinha Quer Mamar,Mc Kevin,2016-02-19,40,"['filmi', 'modern bollywood']"
Don’t Let Me Down - First Rooftop Performance,The Beatles,2021-10-15,54,['la pop']
Club Can't Handle Me (feat. David Guetta),Flo Rida,2010-11-24,80,"['reggaeton', 'trap latino', 'urbano latino']"
