spotify_id,song_name,artist_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3YRCqOhFifThpSRFJ1VWFM,November Rain,Guns N' Roses,82,536067,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,4
2ksOAxtIxY8yElEWw8RhgK,China,Anuel AA,76,301714,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,4
3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,81,239000,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,4
5PycBIeabfvX3n9ILG7Vrv,Propuesta Indecente,Romeo Santos,81,235133,0.757,0.632,2,-6.83,1,0.0549,0.499,0.0,0.0723,0.742,122.936,4
3QYuMpZsC66nwO1tf0jNLw,Don't Let Me Down (Originally Performed by the Chainsmokers Ft. Daya) - Karaoke Instrumental Version,Hit The Button Karaoke,8,210187,0.564,0.64,8,-9.541,0,0.0346,0.185,0.826,0.134,0.207,160.086,4
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,81,217307,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,4
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,85,258267,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,88,242253,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,4
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,88,187147,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones And I,78,209438,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,4
0puf9yIluy9W0vpMEUoAnN,Bang Bang,Jessie J,80,199387,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,4
0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,Drake,81,267067,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,4
6Ges5C2IE738iJh4HyQizQ,Ay Vamos,J Balvin,72,226413,0.718,0.711,8,-5.746,0,0.11,0.157,5.54e-05,0.1,0.92,173.916,4
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,90,200186,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,4
1j6xOGusnyXq3l6IryKF3G,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,84,220117,0.681,0.788,1,-4.323,1,0.0785,0.0482,0.0,0.0753,0.839,170.019,4
0HlMshB5JmZjPNbOuOgFHN,Nunca Es Suficiente,Los Ángeles Azules,76,266016,0.796,0.499,2,-6.166,0,0.0404,0.392,0.0,0.0867,0.798,93.99,4
6U2NuJILEOEpW2tVCuqKHb,Dura - Remix,Daddy Yankee,65,242160,0.772,0.803,1,-3.035,1,0.0468,0.188,0.0,0.434,0.853,94.981,4
7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,85,193467,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,4
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,87,220734,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,4
1RouRzlg8OKFeqc6LvdxmB,Felices los 4,Maluma,75,230000,0.766,0.756,5,-5.861,1,0.132,0.213,0.0,0.349,0.716,94.027,4
5RIVoVdkDLEygELLCniZFr,Watch Me (Whip / Nae Nae),Silentó,67,185143,0.821,0.759,8,-8.541,1,0.121,0.247,0.0,0.321,0.962,140.01,4
7DM4BPaS7uofFul3ywMe46,Vente Pa' Ca (feat. Maluma),Ricky Martin,73,259196,0.663,0.92,11,-4.07,0,0.226,0.00431,1.69e-05,0.101,0.533,99.935,4
5GK7eDDTVz7CTge1wJrDQW,Kill This Love,BLACKPINK,71,189052,0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,4
7uYgVgRSgqluZclLS7wpp4,El Farsante - Remix,Ozuna,71,258000,0.737,0.742,6,-2.875,1,0.0441,0.218,0.0,0.316,0.386,119.966,4
6De0lHrwBfPfrhorm9q1Xl,Me Rehúso,Danny Ocean,77,205715,0.744,0.804,1,-6.327,1,0.0677,0.0231,0.0,0.0494,0.426,104.823,4
378iszndTZAR4dH8kwsLC6,Cheap Thrills (feat. Sean Paul),Sia,75,224813,0.592,0.8,6,-4.931,0,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,4
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,90,225280,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
7Ie9W94M7OjPoZVV216Xus,Not Afraid,Eminem,83,248133,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,5
1CmUZGtH29Kx36C1Hleqlz,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,67,235613,0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992,4
6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,86,278719,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,4
23WI5V2eD4EyGKxSl7Pyeq,Andas En Mi Cabeza,Chino & Nacho,75,247493,0.671,0.954,9,-1.87,1,0.13,0.0244,0.0,0.111,0.556,104.114,4
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),David Guetta,83,245040,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,4
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,91,290320,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,4
6IHR2yfODpHj38M6IbUWAx,Bum Bum Tam Tam,MC Fioti,52,155454,0.931,0.485,9,-8.926,1,0.0973,0.607,0.0284,0.141,0.419,131.975,4
7MHN1aCFtLXjownGhvEQlF,Una Lady Como Tú,Manuel Turizo,70,213027,0.788,0.477,4,-7.348,1,0.0434,0.549,0.0,0.349,0.86,94.983,4
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,82,199054,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4
4CeeEOM32jQcH3eN9Q2dGj,Smells Like Teen Spirit,Nirvana,84,301920,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4
0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,84,294573,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4
3AEZUABDXNtecAOSC1qTfo,Reggaetón Lento (Bailemos),CNCO,74,222560,0.761,0.838,4,-3.073,0,0.0502,0.4,0.0,0.176,0.71,93.974,4
6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,76,216409,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,4
4uOBL4DDWWVx4RhYKlPbPC,Queencard,(G)I-DLE,83,161240,0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,4
1m69ELEgE6k5ZWsap40ozt,Se Preparó,Ozuna,80,188080,0.739,0.821,1,-4.233,1,0.0852,0.222,9.6e-06,0.311,0.693,171.077,4
4a9tbd947vo9K8Vti9JwcI,Boy With Luv (feat. Halsey),BTS,78,229773,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,4
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,86,233720,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,4
7gcMKL3lnDxsp4bIXyv6Zk,Shaky Shaky,Daddy Yankee,65,234320,0.899,0.626,6,-4.228,0,0.292,0.076,0.0,0.0631,0.873,88.007,4
0A9mHc7oYUoCECqByV8cQR,Animals,Martin Garrix,70,304229,0.675,0.868,1,-6.36,1,0.0392,0.00107,0.715,0.374,0.0376,128.007,4
0JcNysfWVWaMS7R6vzGB2k,Robarte un Beso,Carlos Vives,77,194742,0.742,0.859,10,-4.942,1,0.0482,0.0824,0.0,0.359,0.652,95.046,4
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,89,216880,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,4
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),P!nk,84,242733,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,4
47ZS1OjnJpJVfGN9yHXfMn,Toda Remix - Remix,Alex Rose,74,367680,0.512,0.451,5,-7.222,0,0.131,0.161,0.0,0.0672,0.368,80.04,4
6ZGd4ygnoSk8VDvLUWiuU9,What's Up? - Single Version,4 Non Blondes,51,253947,0.563,0.67,11,-7.686,0,0.0287,0.0558,0.0,0.0979,0.366,134.325,4
5nIjOnMbC0QDMrYFLGx0yV,BOOMBAYAH - Japanese Version,BLACKPINK,60,240613,0.748,0.868,5,-2.296,0,0.0533,0.0225,4.85e-06,0.367,0.513,124.952,4
0Gx4VrHzS7pZOEAGrmXXBH,La Bicicleta,Carlos Vives,76,229510,0.745,0.944,0,-3.959,1,0.134,0.21,1.45e-06,0.333,0.951,179.991,4
0vbtURX4qv1l7besfwmnD8,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,82,197933,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,4
0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,80,190960,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,4
5cepAtqnEQ6yVG6088zMMu,Corazón (feat. Nego do Borel),Maluma,72,184720,0.722,0.738,9,-6.073,0,0.247,0.328,1.47e-05,0.198,0.748,198.075,4
1E6EwZziD55AK437Ra0b99,Lehanga,Jass Manak,68,210280,0.693,0.639,3,-5.215,1,0.0402,0.155,0.0,0.242,0.635,94.128,4
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,French Montana,86,233902,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,82,225983,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,4
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,83,222533,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4
3ggovufLCdvloYXN24X3pX,Sweet Child O' Mine (made famous by Guns N' Roses),Guns N' Roses,8,357213,0.627,0.336,6,-18.266,1,0.0543,0.972,0.869,0.109,0.392,125.033,4
5RYtz3cpYb28SV8f1FBtGc,I’m Not The Only One (feat. A$AP Rocky),Sam Smith,52,223315,0.709,0.517,5,-7.047,1,0.0535,0.49,0.0,0.0729,0.559,82.034,4
3Ek7BRwu6eO2kSeNMlZC1A,Hey Mama,David Guetta,53,192560,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.524,85.979,4
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,88,211467,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,4
5kOlvawJm7V3N9hXsZcNNY,"Sweet Child O' Mine - Live In New York, Ritz Theatre - May 16, 1991",Guns N' Roses,32,469107,0.305,0.95,6,-3.85,1,0.0962,0.0166,0.00358,0.852,0.378,127.568,4
22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,Calvin Harris,80,212640,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,4
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,90,272394,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
0F5D6ljXbZE2RcGR6msh2B,El Pollito Pio - Radio Edit,Pulcino Pio,42,160052,0.775,0.799,0,-8.045,1,0.0872,0.215,0.0292,0.0494,0.922,117.104,4
6qAcApH8obo8eqatCKUHd9,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,82,199773,0.602,0.648,2,-6.905,1,0.103,0.0104,0.0,0.217,0.174,170.091,4
2wARCwO6l5dQvIEjxdAG0H,52 Gaj Ka Daman,Yashvi Singh,7,88229,0.736,0.79,11,-6.444,0,0.118,0.425,0.00445,0.136,0.798,216.04,4
2BWd1qRu8mc6H0HbDtn8Dr,Gentleman,PSY,51,194547,0.878,0.723,3,-3.334,0,0.102,0.00227,0.0,0.0516,0.619,126.01,4
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,79,253390,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,4
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,84,193400,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,4
5Fim1gaXBgsiFfsQAfQSDS,Hasta el Amanecer,Nicky Jam,73,198707,0.832,0.608,6,-6.042,0,0.0385,0.282,0.0,0.0761,0.589,94.013,4
